Jobs,Processors,Cooling,Run,Time,BestK2
100,2,L,1,0.03,107567
100,2,L,2,0.01,107567
100,2,L,3,0.02,107567
100,2,L,4,0.02,107567
100,2,L,5,0.01,107567
100,2,B,1,0.01,107567
100,2,B,2,0.01,112928
100,2,B,3,0.01,108567
100,2,B,4,0.01,108567
100,2,B,5,0.01,108567
100,2,C,1,0.04,80127
100,2,C,2,0.04,80127
100,2,C,3,0.04,80127
100,2,C,4,0.04,80127
100,2,C,5,0.04,80127
100,4,L,1,0.01,52399
100,4,L,2,0.01,52399
100,4,L,3,0.01,52399
100,4,L,4,0.01,52399
100,4,L,5,0.01,52399
100,4,B,1,0.01,52399
100,4,B,2,0.01,52399
100,4,B,3,0.01,52399
100,4,B,4,0.01,52399
100,4,B,5,0.01,52399
100,4,C,1,0.03,41584
100,4,C,2,0.03,41584
100,4,C,3,0.03,41584
100,4,C,4,0.03,41584
100,4,C,5,0.03,41584
100,8,L,1,0.01,27307
100,8,L,2,0.01,27307
100,8,L,3,0.01,27307
100,8,L,4,0.01,27307
100,8,L,5,0.01,27307
100,8,B,1,0.01,27307
100,8,B,2,0.01,27307
100,8,B,3,0.01,27307
100,8,B,4,0.01,27307
100,8,B,5,0.01,27307
100,8,C,1,0.03,22095
100,8,C,2,0.03,22095
100,8,C,3,0.03,22153
100,8,C,4,0.03,22153
100,8,C,5,0.03,22153
100,16,L,1,0.02,16124
100,16,L,2,0.02,16124
100,16,L,3,0.02,16124
100,16,L,4,0.02,16124
100,16,L,5,0.02,16124
100,16,B,1,0.02,16124
100,16,B,2,0.02,16124
100,16,B,3,0.02,16124
100,16,B,4,0.02,16124
100,16,B,5,0.02,16124
100,16,C,1,0.04,13055
100,16,C,2,0.04,13055
100,16,C,3,0.04,13055
100,16,C,4,0.04,13055
100,16,C,5,0.04,13055
100,20,L,1,0.02,13117
100,20,L,2,0.02,13117
100,20,L,3,0.02,13117
100,20,L,4,0.02,13117
100,20,L,5,0.02,13117
100,20,B,1,0.02,13117
100,20,B,2,0.02,13117
100,20,B,3,0.02,13117
100,20,B,4,0.02,13117
100,20,B,5,0.02,13117
100,20,C,1,0.03,11062
100,20,C,2,0.03,11062
100,20,C,3,0.03,11062
100,20,C,4,0.03,11062
100,20,C,5,0.04,11034
500,2,L,1,0.32,2.0624e+06
500,2,L,2,0.32,2.0624e+06
500,2,L,3,0.35,2.06126e+06
500,2,L,4,0.26,2.06752e+06
500,2,L,5,0.26,2.06752e+06
500,2,B,1,0.03,2.96502e+06
500,2,B,2,0.03,2.96502e+06
500,2,B,3,0.03,2.96502e+06
500,2,B,4,0.03,2.96502e+06
500,2,B,5,0.03,2.96502e+06
500,2,C,1,0.20,2.1625e+06
500,2,C,2,0.21,2.16056e+06
500,2,C,3,0.21,2.16056e+06
500,2,C,4,0.21,2.16056e+06
500,2,C,5,0.21,2.16056e+06
500,4,L,1,0.03,1.52304e+06
500,4,L,2,0.03,1.52304e+06
500,4,L,3,0.03,1.53135e+06
500,4,L,4,0.26,1.09833e+06
500,4,L,5,0.27,1.09833e+06
500,4,B,1,0.03,1.46327e+06
500,4,B,2,0.03,1.46327e+06
500,4,B,3,0.03,1.46327e+06
500,4,B,4,0.03,1.46327e+06
500,4,B,5,0.03,1.46327e+06
500,4,C,1,0.27,1.04534e+06
500,4,C,2,0.23,1.04622e+06
500,4,C,3,0.25,1.04622e+06
500,4,C,4,0.25,1.04622e+06
500,4,C,5,0.25,1.04623e+06
500,8,L,1,0.03,722505
500,8,L,2,0.03,722505
500,8,L,3,0.03,722505
500,8,L,4,0.03,722505
500,8,L,5,0.03,722505
500,8,B,1,0.03,722505
500,8,B,2,0.03,722505
500,8,B,3,0.03,722505
500,8,B,4,0.03,722505
500,8,B,5,0.03,722505
500,8,C,1,0.25,526033
500,8,C,2,0.25,526033
500,8,C,3,0.21,527049
500,8,C,4,0.28,525749
500,8,C,5,0.28,525749
500,16,L,1,0.03,375019
500,16,L,2,0.03,375019
500,16,L,3,0.03,375019
500,16,L,4,0.03,375019
500,16,L,5,0.03,375019
500,16,B,1,0.03,375019
500,16,B,2,0.04,375658
500,16,B,3,0.04,375658
500,16,B,4,0.04,375658
500,16,B,5,0.04,375658
500,16,C,1,0.26,266899
500,16,C,2,0.28,266899
500,16,C,3,0.28,266893
500,16,C,4,0.20,268409
500,16,C,5,0.19,268409
500,20,L,1,0.04,311424
500,20,L,2,0.04,311424
500,20,L,3,0.04,311424
500,20,L,4,0.04,311424
500,20,L,5,0.04,311424
500,20,B,1,0.04,311424
500,20,B,2,0.03,311424
500,20,B,3,0.03,311424
500,20,B,4,0.04,311424
500,20,B,5,0.03,311424
500,20,C,1,0.18,232415
500,20,C,2,0.20,231640
500,20,C,3,0.20,231640
500,20,C,4,0.19,231640
500,20,C,5,0.19,231640
1000,2,L,1,0.66,8.47127e+06
1000,2,L,2,0.77,8.45597e+06
1000,2,L,3,0.04,1.21656e+07
1000,2,L,4,0.05,1.21656e+07
1000,2,L,5,0.05,1.21656e+07
1000,2,B,1,0.05,1.24873e+07
1000,2,B,2,0.05,1.24873e+07
1000,2,B,3,0.05,1.24873e+07
1000,2,B,4,0.05,1.24873e+07
1000,2,B,5,0.05,1.24873e+07
1000,2,C,1,0.52,8.81257e+06
1000,2,C,2,0.68,8.76251e+06
1000,2,C,3,0.67,8.7613e+06
1000,2,C,4,0.53,8.78703e+06
1000,2,C,5,0.63,8.76182e+06
1000,4,L,1,0.51,4.19779e+06
1000,4,L,2,0.66,4.17436e+06
1000,4,L,3,0.74,4.1733e+06
1000,4,L,4,0.81,4.16752e+06
1000,4,L,5,0.71,4.17122e+06
1000,4,B,1,0.06,6.05119e+06
1000,4,B,2,0.06,6.05119e+06
1000,4,B,3,0.06,6.05119e+06
1000,4,B,4,0.06,6.05119e+06
1000,4,B,5,0.06,6.05119e+06
1000,4,C,1,0.60,4.24978e+06
1000,4,C,2,0.64,4.24851e+06
1000,4,C,3,0.78,4.23603e+06
1000,4,C,4,0.54,4.25604e+06
1000,4,C,5,0.69,4.2454e+06
1000,8,L,1,0.43,2.16051e+06
1000,8,L,2,0.06,3.01247e+06
1000,8,L,3,0.06,3.01247e+06
1000,8,L,4,0.06,3.01247e+06
1000,8,L,5,0.06,3.01247e+06
1000,8,B,1,0.06,3.01827e+06
1000,8,B,2,0.07,3.01827e+06
1000,8,B,3,0.06,3.01827e+06
1000,8,B,4,0.06,3.01827e+06
1000,8,B,5,0.07,3.01827e+06
1000,8,C,1,0.77,2.10166e+06
1000,8,C,2,0.49,2.11589e+06
1000,8,C,3,0.45,2.11838e+06
1000,8,C,4,0.61,2.10966e+06
1000,8,C,5,0.59,2.10866e+06
1000,16,L,1,0.06,1.52048e+06
1000,16,L,2,0.07,1.54438e+06
1000,16,L,3,0.07,1.54438e+06
1000,16,L,4,0.07,1.54438e+06
1000,16,L,5,0.07,1.54438e+06
1000,16,B,1,0.06,1.55487e+06
1000,16,B,2,0.06,1.55487e+06
1000,16,B,3,0.06,1.55487e+06
1000,16,B,4,0.06,1.55487e+06
1000,16,B,5,0.06,1.55487e+06
1000,16,C,1,0.59,1.10465e+06
1000,16,C,2,0.64,1.10344e+06
1000,16,C,3,0.51,1.1102e+06
1000,16,C,4,0.68,1.10435e+06
1000,16,C,5,0.63,1.10359e+06
1000,20,L,1,0.06,1.25267e+06
1000,20,L,2,0.06,1.25267e+06
1000,20,L,3,0.06,1.25267e+06
