JobID,Duration
0,14
1,18
2,1
3,17
4,1
5,18
6,11
7,8
8,2
9,19
10,16
11,1
12,7
13,5
14,1
15,19
16,10
17,19
18,5
19,8
20,9
21,6
22,19
23,9
24,6
25,2
26,11
27,11
28,19
29,9
30,2
31,11
32,10
33,7
34,17
35,2
36,8
37,1
38,15
39,4
40,15
41,14
42,12
43,1
44,2
45,3
46,3
47,1
48,5
49,7
50,6
51,3
52,2
53,15
54,8
55,18
56,20
57,10
58,12
59,19
60,11
61,13
62,15
63,12
64,18
65,6
66,1
67,12
68,12
69,12
70,6
71,6
72,4
73,3
74,6
75,8
76,15
77,16
78,20
79,9
80,16
81,11
82,15
83,18
84,7
85,20
86,16
87,8
88,5
89,8
90,11
91,1
92,5
93,20
94,1
95,19
96,5
97,9
98,1
99,2
