Jobs,Processors,Cooling,Run,Time,BestK2
14000,2,L,1,62.13,1.69212e+09
14000,2,L,2,53.05,1.69813e+09
14000,2,L,3,47.80,1.70372e+09
14000,2,L,4,40.84,1.71328e+09
14000,2,L,5,48.25,1.70296e+09
14000,8,L,1,49.30,4.25897e+08
14000,8,L,2,48.63,4.2616e+08
14000,8,L,3,56.24,4.24185e+08
14000,8,L,4,54.66,4.24651e+08
14000,8,L,5,62.47,4.23186e+08
14000,16,L,1,62.66,2.1179e+08
14000,16,L,2,65.94,2.11653e+08
14000,16,L,3,51.55,2.13037e+08
14000,16,L,4,48.29,2.13365e+08
14000,16,L,5,65.03,2.11876e+08
14000,20,L,1,58.77,1.69985e+08
14000,20,L,2,42.17,1.71805e+08
14000,20,L,3,54.71,1.70262e+08
14000,20,L,4,68.55,1.69314e+08
14000,20,L,5,51.81,1.70538e+08
15000,2,L,1,54.73,1.9329e+09
15000,2,L,2,68.95,1.92059e+09
15000,2,L,3,67.64,1.91983e+09
15000,2,L,4,51.64,1.93621e+09
15000,2,L,5,58.87,1.92675e+09
15000,8,L,1,64.27,4.81033e+08
15000,8,L,2,56.25,4.82927e+08
15000,8,L,3,70.89,4.79863e+08
15000,8,L,4,76.13,4.79341e+08
15000,8,L,5,57.87,4.82382e+08
15000,16,L,1,70.81,2.40049e+08
15000,16,L,2,77.60,2.39695e+08
15000,16,L,3,68.04,2.4033e+08
15000,16,L,4,47.59,2.42965e+08
15000,16,L,5,55.34,2.41405e+08
15000,20,L,1,48.31,1.94127e+08
15000,20,L,2,48.81,1.93971e+08
15000,20,L,3,0.02,
15000,20,L,4,52.52,1.9343e+08
15000,20,L,5,64.91,1.9221e+08
16000,2,L,1,65.67,2.18908e+09
16000,2,L,2,61.66,2.19242e+09
16000,2,L,3,75.68,2.18072e+09
16000,2,L,4,73.01,2.18283e+09
16000,2,L,5,74.68,2.1811e+09
16000,8,L,1,67.25,5.4686e+08
16000,8,L,2,83.96,5.44272e+08
16000,8,L,3,43.42,5.55989e+08
16000,8,L,4,80.26,5.4491e+08
16000,8,L,5,65.25,5.47598e+08
16000,16,L,1,58.89,2.74856e+08
16000,16,L,2,0.07,
16000,16,L,3,69.90,2.73638e+08
16000,16,L,4,64.72,2.74135e+08
16000,16,L,5,0.02,
16000,20,L,1,78.67,2.18294e+08
16000,20,L,2,55.23,2.20496e+08
16000,20,L,3,61.07,2.19712e+08
16000,20,L,4,67.52,2.19075e+08
16000,20,L,5,57.94,2.20079e+08
17000,2,L,1,73.11,2.4678e+09
17000,2,L,2,93.78,2.45446e+09
17000,2,L,3,86.97,2.45681e+09
17000,2,L,4,76.28,2.46568e+09
17000,2,L,5,77.49,2.46404e+09
17000,8,L,1,80.42,6.15818e+08
17000,8,L,2,62.69,6.20903e+08
17000,8,L,3,72.16,6.17576e+08
17000,8,L,4,76.53,6.16458e+08
17000,8,L,5,61.42,6.20868e+08
17000,16,L,1,71.29,3.09256e+08
17000,16,L,2,80.69,3.08163e+08
17000,16,L,3,60.68,3.10779e+08
17000,16,L,4,79.80,3.08345e+08
17000,16,L,5,91.53,3.0735e+08
17000,20,L,1,74.91,2.47033e+08
17000,20,L,2,69.76,2.47488e+08
17000,20,L,3,77.67,2.46889e+08
17000,20,L,4,72.75,2.47445e+08
17000,20,L,5,73.58,2.47224e+08
