Jobs,Processors,Cooling,Run,Time,BestK2
100,2,L,1,0.03,110496
100,2,L,2,0.01,110496
100,2,L,3,0.01,110496
100,2,L,4,0.01,110496
100,2,L,5,0.01,110496
100,2,B,1,0.01,110496
100,2,B,2,0.01,110496
100,2,B,3,0.01,110496
100,2,B,4,0.01,110496
100,2,B,5,0.01,110496
100,2,C,1,0.03,84745
100,2,C,2,0.04,84745
100,2,C,3,0.03,84745
100,2,C,4,0.04,84745
100,2,C,5,0.04,84745
100,5,L,1,0.01,42426
100,5,L,2,0.01,42426
100,5,L,3,0.01,42426
100,5,L,4,0.01,42426
100,5,L,5,0.02,42426
100,5,B,1,0.01,42426
100,5,B,2,0.01,42426
100,5,B,3,0.01,42426
100,5,B,4,0.01,42426
100,5,B,5,0.01,42426
100,5,C,1,0.03,35553
100,5,C,2,0.03,35553
100,5,C,3,0.03,35553
100,5,C,4,0.03,35553
100,5,C,5,0.03,35553
100,10,L,1,0.02,24764
100,10,L,2,0.02,24764
100,10,L,3,0.02,24764
100,10,L,4,0.02,24764
100,10,L,5,0.02,24764
100,10,B,1,0.02,24764
100,10,B,2,0.02,24764
100,10,B,3,0.02,24764
100,10,B,4,0.02,24764
100,10,B,5,0.02,24764
100,10,C,1,0.04,19300
100,10,C,2,0.04,19300
100,10,C,3,0.04,19300
100,10,C,4,0.04,19300
100,10,C,5,0.04,19300
100,15,L,1,0.02,17843
100,15,L,2,0.02,17843
100,15,L,3,0.02,17843
100,15,L,4,0.02,17843
100,15,L,5,0.02,17843
100,15,B,1,0.02,17843
100,15,B,2,0.02,17843
100,15,B,3,0.02,17843
100,15,B,4,0.02,17843
100,15,B,5,0.02,17843
100,15,C,1,0.03,13823
100,15,C,2,0.03,13823
100,15,C,3,0.03,13823
100,15,C,4,0.03,13823
100,15,C,5,0.03,13823
100,20,L,1,0.02,13932
100,20,L,2,0.02,13736
100,20,L,3,0.02,13736
100,20,L,4,0.02,13736
100,20,L,5,0.02,13736
100,20,B,1,0.02,13736
100,20,B,2,0.02,13736
100,20,B,3,0.02,13736
100,20,B,4,0.02,13736
100,20,B,5,0.02,13736
100,20,C,1,0.03,11290
100,20,C,2,0.03,11290
100,20,C,3,0.03,11290
100,20,C,4,0.03,11290
100,20,C,5,0.03,11290
500,2,L,1,0.03,2.98128e+06
500,2,L,2,0.03,2.98128e+06
500,2,L,3,0.03,2.98128e+06
500,2,L,4,0.03,2.98128e+06
500,2,L,5,0.03,2.98128e+06
500,2,B,1,0.03,2.98128e+06
500,2,B,2,0.03,2.98128e+06
500,2,B,3,0.03,2.98128e+06
500,2,B,4,0.03,2.98128e+06
500,2,B,5,0.03,2.98128e+06
500,2,C,1,0.24,2.13731e+06
500,2,C,2,0.27,2.09228e+06
500,2,C,3,0.27,2.09228e+06
500,2,C,4,0.27,2.09228e+06
500,2,C,5,0.32,2.0905e+06
500,5,L,1,0.03,1.19748e+06
500,5,L,2,0.03,1.19748e+06
500,5,L,3,0.03,1.19748e+06
