Iteration,Temperature,CurrentCost,BestCost
0,100,2738,2738
1,99,2742,2738
2,98.01,2742,2738
3,97.0299,2745,2738
4,96.0596,2752,2738
5,95.099,2757,2738
6,94.148,2755,2738
7,93.2065,2750,2738
8,92.2745,2756,2738
9,91.3517,2759,2738
10,90.4382,2759,2738
11,89.5338,2747,2738
12,88.6385,2823,2738
13,87.7521,2828,2738
14,86.8746,2858,2738
15,86.0058,2859,2738
16,85.1458,2867,2738
17,84.2943,2918,2738
18,83.4514,2994,2738
19,82.6169,3062,2738
20,81.7907,3066,2738
21,80.9728,3062,2738
22,80.1631,3066,2738
23,79.3614,3066,2738
24,78.5678,3060,2738
25,77.7821,3032,2738
26,77.0043,3032,2738
27,76.2343,3024,2738
28,75.4719,3015,2738
29,74.7172,3039,2738
30,73.97,3024,2738
31,73.2303,2998,2738
32,72.498,3009,2738
33,71.7731,3019,2738
34,71.0553,3039,2738
35,70.3448,3039,2738
36,69.6413,3053,2738
37,68.9449,3109,2738
38,68.2555,3110,2738
39,67.5729,3114,2738
40,66.8972,3138,2738
41,66.2282,3140,2738
42,65.5659,3112,2738
43,64.9103,3134,2738
44,64.2612,3125,2738
45,63.6185,3080,2738
46,62.9824,3080,2738
47,62.3525,3086,2738
48,61.729,3078,2738
49,61.1117,3078,2738
50,60.5006,3082,2738
51,59.8956,3080,2738
52,59.2966,3086,2738
53,58.7037,3113,2738
54,58.1166,3129,2738
55,57.5355,3129,2738
56,56.9601,3129,2738
57,56.3905,3093,2738
58,55.8266,3093,2738
59,55.2683,3069,2738
60,54.7157,3071,2738
61,54.1685,3071,2738
62,53.6268,3062,2738
63,53.0906,3090,2738
64,52.5596,3090,2738
65,52.0341,3092,2738
66,51.5137,3076,2738
67,50.9986,3076,2738
68,50.4886,3076,2738
69,49.9837,3080,2738
70,49.4839,3064,2738
71,48.989,3082,2738
72,48.4991,3082,2738
73,48.0141,3082,2738
74,47.534,3076,2738
75,47.0587,3076,2738
76,46.5881,3064,2738
77,46.1222,3108,2738
78,45.661,3156,2738
79,45.2044,3156,2738
80,44.7523,3166,2738
81,44.3048,3208,2738
82,43.8618,3172,2738
83,43.4231,3172,2738
84,42.9889,3183,2738
85,42.559,3165,2738
86,42.1334,3171,2738
87,41.7121,3191,2738
88,41.295,3123,2738
89,40.882,3123,2738
90,40.4732,3123,2738
91,40.0685,3123,2738
92,39.6678,3123,2738
93,39.2711,3127,2738
94,38.8784,3118,2738
95,38.4896,3113,2738
96,38.1047,3110,2738
97,37.7237,3098,2738
98,37.3464,3107,2738
99,36.973,3107,2738
